part.age.cat,cont.age.cat,wM,wF,w,mMM,mFM,mMF,mFF,m,cMM,cFM,cMF,cFF,c
"[50,55)","[70,75)",266238,313026,579264,0.028541981,0.030837012,0.031379995,0.066655618,0.078560933,1.07E-07,1.16E-07,1.00E-07,2.13E-07,1.36E-07
"[55,60)","[70,75)",266238,313026,579264,0.035081669,0.046402474,0.037263613,0.111362647,0.114599599,1.32E-07,1.74E-07,1.19E-07,3.56E-07,1.98E-07
"[60,65)","[70,75)",266238,313026,579264,0.059117308,0.110296957,0.067738032,0.129606879,0.1831709,2.22E-07,4.14E-07,2.16E-07,4.14E-07,3.16E-07
"[65,70)","[70,75)",266238,313026,579264,0.081246781,0.229991897,0.18921599,0.158796625,0.331177602,3.05E-07,8.64E-07,6.04E-07,5.07E-07,5.72E-07
"[70,75)","[70,75)",266238,313026,579264,0.098331908,0.339699972,0.399398545,0.149572085,0.493159657,3.69E-07,1.28E-06,1.28E-06,4.78E-07,8.51E-07
"[75,80)","[70,75)",266238,313026,579264,0.093277627,0.114721,0.353978243,0.07451334,0.295738953,3.50E-07,4.31E-07,1.13E-06,2.38E-07,5.11E-07
"[0,5)","[75,80)",225146,320300,545446,0.008724235,0.010666475,0.017923206,0.012567905,0.024980611,3.87E-08,4.74E-08,5.60E-08,3.92E-08,4.58E-08
"[5,10)","[75,80)",225146,320300,545446,0.006572461,0.030032607,0.028380116,0.040452989,0.052305302,2.92E-08,1.33E-07,8.86E-08,1.26E-07,9.59E-08
"[10,15)","[75,80)",225146,320300,545446,0.006813769,0.038772579,0.034092187,0.086177196,0.081972886,3.03E-08,1.72E-07,1.06E-07,2.69E-07,1.50E-07
"[15,20)","[75,80)",225146,320300,545446,0.010830067,0.029378107,0.03259062,0.15843107,0.11403401,4.81E-08,1.30E-07,1.02E-07,4.95E-07,2.09E-07
"[20,25)","[75,80)",225146,320300,545446,0.018750904,0.017938526,0.032652214,0.102954849,0.085781903,8.33E-08,7.97E-08,1.02E-07,3.21E-07,1.57E-07
