part.age.cat,cont.age.cat,wM,wF,w,mMM,mFM,mMF,mFF,m,cMM,cFM,cMF,cFF,c
"[40,45)","[20,25)",487458,477286,964744,0.125942824,0.069994005,0.072095633,0.148826912,0.208289101,2.58E-07,1.44E-07,1.51E-07,3.12E-07,2.16E-07
"[45,50)","[20,25)",487458,477286,964744,0.144754807,0.176777909,0.11224224,0.234774497,0.333627275,2.97E-07,3.63E-07,2.35E-07,4.92E-07,3.46E-07
"[50,55)","[20,25)",487458,477286,964744,0.154572641,0.231758943,0.133379453,0.195038909,0.356834051,3.17E-07,4.75E-07,2.79E-07,4.09E-07,3.70E-07
"[55,60)","[20,25)",487458,477286,964744,0.086460666,0.088700063,0.119362477,0.078084521,0.186512083,1.77E-07,1.82E-07,2.50E-07,1.64E-07,1.93E-07
"[60,65)","[20,25)",487458,477286,964744,0.040173665,0.030497917,0.078508536,0.040348144,0.094852437,8.24E-08,6.26E-08,1.64E-07,8.45E-08,9.83E-08
"[65,70)","[20,25)",487458,477286,964744,0.020022036,0.017363031,0.044057333,0.049137514,0.065321713,4.11E-08,3.56E-08,9.23E-08,1.03E-07,6.77E-08
"[70,75)","[20,25)",487458,477286,964744,0.016957097,0.022260736,0.037138443,0.078764769,0.079455824,3.48E-08,4.57E-08,7.78E-08,1.65E-07,8.24E-08
"[75,80)","[20,25)",487458,477286,964744,0.040597108,0.049692727,0.038027773,0.153415332,0.151724623,8.33E-08,1.02E-07,7.97E-08,3.21E-07,1.57E-07
"[0,5)","[25,30)",497244,494631,991875,0.097064695,0.078311854,0.326965071,0.319976973,0.411458711,1.95E-07,1.57E-07,6.61E-07,6.47E-07,4.15E-07
"[5,10)","[25,30)",497244,494631,991875,0.048529012,0.04707808,0.125986917,0.132465909,0.176971407,9.76E-08,9.47E-08,2.55E-07,2.68E-07,1.78E-07
"[10,15)","[25,30)",497244,494631,991875,0.044669148,0.043776849,0.040448504,0.076388299,0.10224316,8.98E-08,8.80E-08,8.18E-08,1.54E-07,1.03E-07
"[15,20)","[25,30)",497244,494631,991875,0.095651611,0.115053688,0.047850891,0.090022072,0.17361496,1.92E-07,2.31E-07,9.67E-08,1.82E-07,1.75E-07
"[20,25)","[25,30)",497244,494631,991875,0.245389812,0.517914733,0.155338358,0.231395641,0.573181594,4.93E-07,1.04E-06,3.14E-07,4.68E-07,5.78E-07
"[25,30)","[25,30)",497244,494631,991875,0.551429891,0.567888285,0.564905815,0.515677758,1.099994039,1.11E-06,1.14E-06,1.14E-06,1.04E-06,1.11E-06
"[30,35)","[25,30)",497244,494631,991875,0.29293391,0.217740594,0.427979959,0.356501402,0.647684976,5.89E-07,4.38E-07,8.65E-07,7.21E-07,6.53E-07
"[35,40)","[25,30)",497244,494631,991875,0.159973347,0.080736291,0.219294911,0.16591682,0.313793257,3.22E-07,1.62E-07,4.43E-07,3.35E-07,3.16E-07
"[40,45)","[25,30)",497244,494631,991875,0.133053023,0.061702543,0.088942733,0.133735372,0.208896491,2.68E-07,1.24E-07,1.80E-07,2.70E-07,2.11E-07
"[45,50)","[25,30)",497244,494631,991875,0.144329338,0.086680279,0.084650827,0.180746555,0.248042442,2.90E-07,1.74E-07,1.71E-07,3.65E-07,2.50E-07
"[50,55)","[25,30)",497244,494631,991875,0.143681472,0.143878473,0.113666675,0.181071455,0.290885671,2.89E-07,2.89E-07,2.30E-07,3.66E-07,2.93E-07
"[55,60)","[25,30)",497244,494631,991875,0.112096054,0.10879024,0.134119011,0.139389269,0.247186809,2.25E-07,2.19E-07,2.71E-07,2.82E-07,2.49E-07
"[60,65)","[25,30)",497244,494631,991875,0.06295478,0.052310782,0.11352663,0.092322015,0.160615896,1.27E-07,1.05E-07,2.30E-07,1.87E-07,1.62E-07
"[65,70)","[25,30)",497244,494631,991875,0.030254362,0.030587405,0.070851092,0.066717522,0.099155343,6.08E-08,6.15E-08,1.43E-07,1.35E-07,1.00E-07
"[70,75)","[25,30)",497244,494631,991875,0.023695953,0.028665467,0.045509422,0.058063278,0.078674754,4.77E-08,5.76E-08,9.20E-08,1.17E-07,7.93E-08
"[75,80)","[25,30)",497244,494631,991875,0.05236047,0.043679793,0.03291888,0.058122834,0.094982246,1.05E-07,8.78E-08,6.66E-08,1.18E-07,9.58E-08
"[0,5)","[30,35)",563294,561652,1124946,0.352374571,0.290836652,0.55210023,0.74634134,0.969282817,6.26E-07,5.16E-07,9.83E-07,1.33E-06,8.62E-07
"[5,10)","[30,35)",563294,561652,1124946,0.166959427,0.117507804,0.265125991,0.307180819,0.428473156,2.96E-07,2.09E-07,4.72E-07,5.47E-07,3.81E-07
"[10,15)","[30,35)",563294,561652,1124946,0.066588862,0.064383273,0.074383763,0.117918188,0.161167429,1.18E-07,1.14E-07,1.32E-07,2.10E-07,1.43E-07
"[15,20)","[30,35)",563294,561652,1124946,0.078179956,0.074738258,0.047253445,0.079635255,0.139586589,1.39E-07,1.33E-07,8.41E-08,1.42E-07,1.24E-07
"[20,25)","[30,35)",563294,561652,1124946,0.173030388,0.20105697,0.095165246,0.154892421,0.311609886,3.07E-07,3.57E-07,1.69E-07,2.76E-07,2.77E-07
"[25,30)","[30,35)",563294,561652,1124946,0.331846079,0.487390156,0.245944034,0.4048097,0.734580843,5.89E-07,8.65E-07,4.38E-07,7.21E-07,6.53E-07
"[30,35)","[30,35)",563294,561652,1124946,0.58892547,0.562727769,0.561090735,0.577843844,1.145300801,1.05E-06,9.99E-07,9.99E-07,1.03E-06,1.02E-06
"[35,40)","[30,35)",563294,561652,1124946,0.358085221,0.251251951,0.579866281,0.35038599,0.771906136,6.36E-07,4.46E-07,1.03E-06,6.24E-07,6.86E-07
"[40,45)","[30,35)",563294,561652,1124946,0.233915847,0.10681969,0.210357101,0.171805333,0.362569541,4.15E-07,1.90E-07,3.75E-07,3.06E-07,3.22E-07
"[45,50)","[30,35)",563294,561652,1124946,0.231964354,0.079097193,0.090812189,0.133802643,0.268298476,4.12E-07,1.40E-07,1.62E-07,2.38E-07,2.38E-07
"[50,55)","[30,35)",563294,561652,1124946,0.149895009,0.102466166,0.079538488,0.127667949,0.229781076,2.66E-07,1.82E-07,1.42E-07,2.27E-07,2.04E-07
"[55,60)","[30,35)",563294,561652,1124946,0.121139336,0.132009707,0.115034337,0.168678614,0.268086896,2.15E-07,2.34E-07,2.05E-07,3.00E-07,2.38E-07
"[60,65)","[30,35)",563294,561652,1124946,0.107626597,0.133093512,0.169607395,0.17511115,0.292662155,1.91E-07,2.36E-07,3.02E-07,3.12E-07,2.60E-07
"[65,70)","[30,35)",563294,561652,1124946,0.074083969,0.082054903,0.133358527,0.103750111,0.196339959,1.32E-07,1.46E-07,2.37E-07,1.85E-07,1.75E-07
"[70,75)","[30,35)",563294,561652,1124946,0.050882469,0.053205462,0.089125787,0.078339911,0.135435035,9.03E-08,9.45E-08,1.59E-07,1.39E-07,1.20E-07
"[75,80)","[30,35)",563294,561652,1124946,0.054390037,0.042127511,0.057783434,0.050853483,0.100903152,9.66E-08,7.48E-08,1.03E-07,9.05E-08,8.97E-08
"[0,5)","[35,40)",662351,645924,1308275,0.50473021,0.406415594,0.562153916,0.637253348,1.055546568,7.62E-07,6.14E-07,8.70E-07,9.87E-07,8.07E-07
"[5,10)","[35,40)",662351,645924,1308275,0.476751074,0.328090075,0.509673138,0.693763354,1.003726245,7.20E-07,4.95E-07,7.89E-07,1.07E-06,7.67E-07
"[10,15)","[35,40)",662351,645924,1308275,0.166167969,0.180841288,0.201481093,0.270336606,0.40846435,2.51E-07,2.73E-07,3.12E-07,4.19E-07,3.12E-07
"[15,20)","[35,40)",662351,645924,1308275,0.109518005,0.100090909,0.078027291,0.135231726,0.210910847,1.65E-07,1.51E-07,1.21E-07,2.09E-07,1.61E-07
"[20,25)","[35,40)",662351,645924,1308275,0.174900104,0.117459567,0.066035527,0.148672434,0.253400984,2.64E-07,1.77E-07,1.02E-07,2.30E-07,1.94E-07
"[25,30)","[35,40)",662351,645924,1308275,0.213091454,0.293653451,0.104877185,0.216665807,0.413890584,3.22E-07,4.43E-07,1.62E-07,3.35E-07,3.16E-07
"[30,35)","[35,40)",662351,645924,1308275,0.421055939,0.683829226,0.288109109,0.402960857,0.89770197,6.36E-07,1.03E-06,4.46E-07,6.24E-07,6.86E-07
"[35,40)","[35,40)",662351,645924,1308275,0.688386162,0.701526144,0.684126807,0.59677537,1.33587315,1.04E-06,1.06E-06,1.06E-06,9.24E-07,1.02E-06
"[40,45)","[35,40)",662351,645924,1308275,0.477560086,0.245872205,0.394838014,0.293972671,0.708371103,7.21E-07,3.71E-07,6.11E-07,4.55E-07,5.41E-07
"[45,50)","[35,40)",662351,645924,1308275,0.318503931,0.135554367,0.191600519,0.164787473,0.406101866,4.81E-07,2.05E-07,2.97E-07,2.55E-07,3.10E-07
"[50,55)","[35,40)",662351,645924,1308275,0.155763873,0.12553282,0.105762523,0.12238343,0.254774346,2.35E-07,1.90E-07,1.64E-07,1.89E-07,1.95E-07
"[55,60)","[35,40)",662351,645924,1308275,0.120220467,0.148078139,0.110472326,0.120392838,0.249380388,1.82E-07,2.24E-07,1.71E-07,1.86E-07,1.91E-07
"[60,65)","[35,40)",662351,645924,1308275,0.169032299,0.198871545,0.184578255,0.16213836,0.35729657,2.55E-07,3.00E-07,2.86E-07,2.51E-07,2.73E-07
"[65,70)","[35,40)",662351,645924,1308275,0.158339919,0.145421406,0.177120565,0.155308335,0.317639586,2.39E-07,2.20E-07,2.74E-07,2.40E-07,2.43E-07
"[70,75)","[35,40)",662351,645924,1308275,0.107022164,0.089263454,0.162330472,0.13871338,0.246993744,1.62E-07,1.35E-07,2.51E-07,2.15E-07,1.89E-07
"[75,80)","[35,40)",662351,645924,1308275,0.075217052,0.057011921,0.141650692,0.087379995,0.174308063,1.14E-07,8.61E-08,2.19E-07,1.35E-07,1.33E-07
"[0,5)","[40,45)",666242,648455,1314697,0.227896698,0.217530717,0.2746185,0.303979225,0.511791627,3.42E-07,3.27E-07,4.23E-07,4.69E-07,3.89E-07
"[5,10)","[40,45)",666242,648455,1314697,0.475392126,0.379089251,0.450397274,0.510208472,0.90796851,7.14E-07,5.69E-07,6.95E-07,7.87E-07,6.91E-07
"[10,15)","[40,45)",666242,648455,1314697,0.345326721,0.339735629,0.423933023,0.523682966,0.815269255,5.18E-07,5.10E-07,6.54E-07,8.08E-07,6.20E-07
"[15,20)","[40,45)",666242,648455,1314697,0.182857915,0.17357171,0.19044884,0.331114082,0.437557794,2.74E-07,2.61E-07,2.94E-07,5.11E-07,3.33E-07
"[20,25)","[40,45)",666242,648455,1314697,0.172135152,0.10063805,0.093111566,0.202200142,0.283844278,2.58E-07,1.51E-07,1.44E-07,3.12E-07,2.16E-07
"[25,30)","[40,45)",666242,648455,1314697,0.178273836,0.119801173,0.080466078,0.175324646,0.276884939,2.68E-07,1.80E-07,1.24E-07,2.70E-07,2.11E-07
"[30,35)","[40,45)",666242,648455,1314697,0.276667183,0.249529162,0.122968934,0.198356829,0.42372584,4.15E-07,3.75E-07,1.90E-07,3.06E-07,3.22E-07
"[35,40)","[40,45)",666242,648455,1314697,0.480364548,0.407258,0.240714118,0.295123577,0.711847504,7.21E-07,6.11E-07,3.71E-07,4.55E-07,5.41E-07
"[40,45)","[40,45)",666242,648455,1314697,0.627957985,0.539622064,0.525215629,0.38014932,1.038051389,9.43E-07,8.10E-07,8.10E-07,5.86E-07,7.90E-07
"[45,50)","[40,45)",666242,648455,1314697,0.370404035,0.276288218,0.463807329,0.292682952,0.70270239,5.56E-07,4.15E-07,7.15E-07,4.51E-07,5.34E-07
"[50,55)","[40,45)",666242,648455,1314697,0.140535313,0.152949587,0.227371369,0.178757984,0.349948153,2.11E-07,2.30E-07,3.51E-07,2.76E-07,2.66E-07
"[55,60)","[40,45)",666242,648455,1314697,0.109736327,0.111170599,0.128240213,0.1162611,0.232760362,1.65E-07,1.67E-07,1.98E-07,1.79E-07,1.77E-07
"[60,65)","[40,45)",666242,648455,1314697,0.170867133,0.127482313,0.113700901,0.116208501,0.264204884,2.56E-07,1.91E-07,1.75E-07,1.79E-07,2.01E-07
"[65,70)","[40,45)",666242,648455,1314697,0.172567693,0.106817668,0.139876783,0.163728766,0.290945922,2.59E-07,1.60E-07,2.16E-07,2.52E-07,2.21E-07
"[70,75)","[40,45)",666242,648455,1314697,0.142669301,0.089504333,0.188875266,0.145218222,0.279223334,2.14E-07,1.34E-07,2.91E-07,2.24E-07,2.12E-07
"[75,80)","[40,45)",666242,648455,1314697,0.119350448,0.084272127,0.207297304,0.119337095,0.254396345,1.79E-07,1.26E-07,3.20E-07,1.84E-07,1.94E-07
"[0,5)","[45,50)",614181,603975,1218156,0.086295626,0.089480172,0.08601591,0.129407881,0.195058026,1.41E-07,1.46E-07,1.42E-07,2.14E-07,1.60E-07
"[5,10)","[45,50)",614181,603975,1218156,0.285901691,0.165306329,0.180584033,0.199598181,0.416878037,4.66E-07,2.69E-07,2.99E-07,3.30E-07,3.42E-07
"[10,15)","[45,50)",614181,603975,1218156,0.378500075,0.304381762,0.292389817,0.313511114,0.644993582,6.16E-07,4.96E-07,4.84E-07,5.19E-07,5.29E-07
"[15,20)","[45,50)",614181,603975,1218156,0.276154443,0.248551975,0.391279983,0.38029335,0.64856239,4.50E-07,4.05E-07,6.48E-07,6.30E-07,5.32E-07
"[20,25)","[45,50)",614181,603975,1218156,0.182385932,0.144435679,0.219033148,0.297091739,0.421261803,2.97E-07,2.35E-07,3.63E-07,4.92E-07,3.46E-07
"[25,30)","[45,50)",614181,603975,1218156,0.178271278,0.105110376,0.105285687,0.220702431,0.304629226,2.90E-07,1.71E-07,1.74E-07,3.65E-07,2.50E-07
"[30,35)","[45,50)",614181,603975,1218156,0.252919708,0.099305254,0.08480951,0.143885574,0.290529018,4.12E-07,1.62E-07,1.40E-07,2.38E-07,2.38E-07
"[35,40)","[45,50)",614181,603975,1218156,0.295340715,0.182184826,0.123607284,0.15408509,0.37812802,4.81E-07,2.97E-07,2.05E-07,2.55E-07,3.10E-07
"[40,45)","[45,50)",614181,603975,1218156,0.341459022,0.439290274,0.25046537,0.272606636,0.651099075,5.56E-07,7.15E-07,4.15E-07,4.51E-07,5.34E-07
"[45,50)","[45,50)",614181,603975,1218156,0.21698064,0.518585453,0.509967503,0.419501175,0.831632901,3.53E-07,8.44E-07,8.44E-07,6.95E-07,6.83E-07
"[50,55)","[45,50)",614181,603975,1218156,0.128532717,0.220100769,0.48753903,0.296762242,0.566853881,2.09E-07,3.58E-07,8.07E-07,4.91E-07,4.65E-07
